,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission
358,Land Rover,2008.0,Nigerian Used,178780.0,4700.0,Petrol,Automatic
359,Lexus,2002.0,Foreign Used,132618.0,3000.0,Petrol,Automatic
361,Mercedes-Benz,2010.0,Nigerian Used,220223.0,3000.0,Petrol,Automatic
362,Toyota,2009.0,Foreign Used,124609.0,3500.0,Petrol,Automatic
363,Land Rover,2013.0,Nigerian Used,76069.0,4500.0,Petrol,Automatic
364,Lexus,2004.0,Foreign Used,158812.0,3300.0,Petrol,Automatic
365,Lexus,2003.0,Foreign Used,239713.0,4700.0,Petrol,Automatic
366,Toyota,2015.0,Foreign Used,147257.0,2500.0,Petrol,Automatic
367,Lexus,2010.0,Nigerian Used,114626.0,3500.0,Hybrid,Automatic
368,Lexus,2007.0,Foreign Used,151892.0,3500.0,Petrol,Automatic
369,Toyota,2016.0,Foreign Used,61068.0,2500.0,Petrol,Automatic
370,Land Rover,2016.0,Foreign Used,70973.0,2000.0,Petrol,Automatic
371,Lexus,2008.0,Foreign Used,155216.0,3500.0,Petrol,Automatic
372,Toyota,2011.0,Nigerian Used,235681.0,3500.0,Petrol,Automatic
374,Toyota,2012.0,Foreign Used,125026.0,3500.0,Petrol,Automatic
376,Toyota,2011.0,Foreign Used,244495.0,3500.0,Petrol,Automatic
377,Mercedes-Benz,2020.0,Foreign Used,20106.0,2000.0,Petrol,Automatic
378,Toyota,2015.0,Foreign Used,354563.0,2400.0,Petrol,Manual
379,Toyota,2014.0,Nigerian Used,129798.0,3000.0,Petrol,Automatic
380,Toyota,2010.0,Nigerian Used,161209.0,2700.0,Petrol,Automatic
381,Mercedes-Benz,2011.0,Nigerian Used,73624.0,3500.0,Petrol,Automatic
382,Lexus,2003.0,Foreign Used,239713.0,4700.0,Petrol,Automatic
383,Mercedes-Benz,2008.0,Nigerian Used,1305.0,3500.0,Petrol,Automatic
384,Lexus,2004.0,Nigerian Used,366454.0,3300.0,Petrol,Automatic
385,Lexus,2008.0,Nigerian Used,243860.0,3500.0,Petrol,Automatic
386,Toyota,2012.0,Foreign Used,373365.0,2500.0,Petrol,Automatic
387,Mercedes-Benz,2009.0,Nigerian Used,175241.0,3500.0,Petrol,Automatic
388,Mercedes-Benz,2010.0,Nigerian Used,191748.0,3600.0,Petrol,Automatic
389,Toyota,2019.0,Brand New,10427.0,2400.0,Petrol,Automatic
392,Toyota,2014.0,Foreign Used,104291.0,2400.0,Petrol,Automatic
394,Toyota,2011.0,Foreign Used,160336.0,3500.0,Petrol,Automatic
395,Toyota,2012.0,Nigerian Used,76334.0,3500.0,Petrol,Automatic
396,Renault,2005.0,Nigerian Used,60207.0,2000.0,Petrol,Automatic
397,Lexus,2007.0,Foreign Used,131510.0,3500.0,Petrol,Automatic
398,Toyota,2008.0,Nigerian Used,113236.0,3500.0,Petrol,Automatic
400,Toyota,2005.0,Foreign Used,354671.0,3300.0,Petrol,Automatic
401,Toyota,2010.0,Foreign Used,144121.0,2000.0,Petrol,Automatic
402,Toyota,2007.0,Foreign Used,154843.0,3500.0,Petrol,Automatic
403,Lexus,2007.0,Foreign Used,377520.0,4600.0,Petrol,Automatic
404,Toyota,2008.0,Nigerian Used,198747.0,3000.0,Petrol,Automatic
405,Mercedes-Benz,2008.0,Nigerian Used,1305.0,3500.0,Petrol,Automatic
406,Toyota,2016.0,Foreign Used,16548.0,2500.0,Petrol,Automatic
407,Toyota,2014.0,Foreign Used,119965.0,2500.0,Petrol,Automatic
409,Lexus,2010.0,Foreign Used,188896.0,3500.0,Petrol,Manual
411,Mini,2012.0,Foreign Used,144286.0,1600.0,Petrol,Automatic
412,Lexus,2007.0,Foreign Used,148888.0,3500.0,Petrol,Automatic
413,Lexus,2009.0,Nigerian Used,285775.0,3500.0,Petrol,Automatic
414,Lexus,2008.0,Nigerian Used,243860.0,3500.0,Petrol,Automatic
415,Toyota,2011.0,Foreign Used,161948.0,2500.0,Petrol,Automatic
416,Toyota,2015.0,Foreign Used,154559.0,3500.0,Petrol,Automatic
417,Mercedes-Benz,2009.0,Foreign Used,95356.0,3000.0,Petrol,Automatic
